Time,Close,Open,High,Low
2020.11.10,46.54,47.55,47.64,45.36
2020.11.9,48.32,48.00,49.25,46.85
2020.11.6,50.69,49.70,51.17,49.05
2020.11.5,49.41,48.71,49.95,48.47
2020.11.4,47.82,49.47,49.64,47.56
2020.11.3,48.92,48.00,49.38,47.61
2020.11.2,47.87,48.19,49.34,47.21
2020.10.30,47.63,48.77,49.14,46.99
2020.10.29,49.28,49.30,50.80,48.03
2020.10.28,53.25,52.87,54.10,52.38
2020.10.27,53.55,53.39,53.84,53.00
2020.10.26,53.34,53.49,53.95,52.28
2020.10.23,53.79,52.47,53.95,52.47
2020.10.22,52.29,52.59,52.72,51.57
2020.10.21,52.82,54.29,54.48,52.63
2020.10.20,54.20,54.42,55.13,54.03
2020.10.19,54.32,56.43,56.90,53.92
2020.10.16,55.83,55.33,56.44,55.19
2020.10.15,55.40,55.79,56.11,54.86
2020.10.14,56.46,57.79,58.34,56.43
2020.10.13,57.59,55.55,57.82,55.40
2020.10.12,55.38,56.20,56.20,54.53
2020.10.9,55.45,52.43,55.86,52.32
2020.10.8,52.08,51.30,52.18,50.98
2020.10.7,50.94,50.55,51.11,49.98
2020.10.6,49.66,51.91,51.91,49.49
2020.10.5,51.77,51.94,52.11,51.15
2020.10.2,51.68,51.61,52.43,51.19
2020.10.1,52.38,52.37,52.86,52.00
2020.9.30,52.10,52.98,53.62,51.51
2020.9.29,52.65,53.95,54.30,52.59
2020.9.28,54.04,53.20,54.36,53.10
2020.9.25,52.48,51.97,52.73,51.18
2020.9.24,51.78,50.22,52.17,50.04
2020.9.23,50.68,51.15,51.46,50.42
2020.9.22,50.92,50.64,51.04,49.83
2020.9.21,50.14,47.93,50.24,47.73
2020.9.18,48.61,49.00,49.24,48.08
2020.9.17,48.64,49.36,49.44,47.44
2020.9.16,50.42,51.78,52.25,50.29
2020.9.15,51.78,52.68,52.99,51.64
2020.9.14,52.30,53.29,53.58,52.21
2020.9.11,52.77,52.33,53.08,52.10
2020.9.10,52.32,53.72,54.60,52.03
2020.9.9,53.44,52.03,53.71,51.71
2020.9.8,51.53,51.17,52.66,50.97
2020.9.4,52.54,52.82,53.33,50.95
2020.9.3,53.16,54.65,55.42,52.59
2020.9.2,55.09,53.89,55.23,53.51
2020.9.1,53.65,54.95,55.23,53.37
2020.8.31,54.78,54.00,54.91,53.57
2020.8.28,54.27,56.26,56.26,54.05
2020.8.27,56.31,58.92,58.92,56.20
2020.8.26,58.58,57.96,58.66,57.38
2020.8.25,58.05,58.51,58.89,58.02
2020.8.24,58.78,58.46,58.96,58.06
2020.8.21,58.21,57.86,59.06,57.51
2020.8.20,57.66,57.60,58.06,57.16
2020.8.19,57.71,57.15,58.38,57.03
2020.8.18,57.03,57.57,57.88,56.94
2020.8.17,57.35,56.69,57.57,56.30
2020.8.14,56.29,56.53,57.60,55.87
2020.8.13,56.28,55.60,57.06,55.60
2020.8.12,55.49,54.40,56.20,54.39
2020.8.11,54.29,54.21,55.64,53.70
2020.8.10,54.37,55.22,55.29,54.02
2020.8.7,55.21,55.34,55.92,54.78
2020.8.6,55.08,55.99,56.53,54.84
2020.8.5,56.66,56.47,56.93,55.98
