Gmt time,Open,High,Low,Close
15.02.2021 19:08:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:09:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:10:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:11:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:12:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:13:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:14:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:15:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:16:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:17:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:18:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:19:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:20:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:21:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:22:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:23:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:24:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:25:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:26:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:27:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:28:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:29:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:30:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:31:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:32:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:33:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:34:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:35:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:36:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:37:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:38:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:39:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:40:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:41:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:42:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:43:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:44:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:45:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:46:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:47:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:48:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:49:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:50:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:51:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:52:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:53:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:54:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:55:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:56:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:57:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:58:00.000,16.417,16.417,16.417,16.417
15.02.2021 19:59:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:00:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:01:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:02:00.000,16.417,16.417,16.417,16.417
15.02.2021 20:03:00.000,16.417,16.417,16.417,16.417
