Time,Close,Volume,Open,High,Low
2014.7.16,355.9,3501540,355.62,359.32,353
2014.7.15,354.44,4168989,353.72,355.59,349.4
2014.7.14,355.32,5609792,347.03,355.77,345.36
2014.7.11,346.2,8298955,334.71,347,334.71
2014.7.10,327.92,2658989,324.34,329.98,322.65
2014.7.9,329.97,3163085,324.71,330.2,323.15
2014.7.8,323.81,4271547,333.1,333.74,321.4
2014.7.7,333.55,2128885,337.5,337.55,332.52
2014.7.3,337.49,1944300,334.83,338.3,333.08
2014.7.2,332.85,2680365,333.2,336.76,331.66
2014.7.1,332.39,3173633,325.86,333.2,325.1
2014.6.30,324.78,2671185,324.98,326.98,322.24
2014.6.27,324.57,2412654,325.88,326.52,323.27
2014.6.26,325.69,2698458,328.49,328.65,322.13
2014.6.25,327.44,2325141,324.33,328.15,321.74
2014.6.24,324.16,2626353,327.54,329.73,322.74
2014.6.23,327.24,2604785,323.33,327.55,321.41
2014.6.20,324.2,6053531,327.76,328.22,320.42
2014.6.19,327,5318838,335.26,338.9,325.98
2014.6.18,334.38,6356598,328,335.75,325
2014.6.17,325.62,2903522,327.54,331.34,325.23
2014.6.16,327.62,2395080,324.86,328.69,323.52
2014.6.13,326.27,2764742,327.05,329.3,323.53
2014.6.12,325.91,4259403,335.55,335.55,324.66
2014.6.11,335.2,4433947,336,340.72,333.88
2014.6.10,332.41,3619883,327.65,335.5,327.5
2014.6.9,327.5,3207844,331.57,333,325.65
2014.6.6,329.67,5242900,325,330.88,324.93
2014.6.5,323.57,7794053,308.1,327.94,306.9
2014.6.4,306.78,2104216,306.85,309.5,303.84
2014.6.3,307.19,2377995,305.75,307.92,305.07
2014.6.2,308.84,2203385,312.59,312.6,307
2014.5.30,312.55,4259611,314.43,314.65,307.57
2014.5.29,313.78,2363873,310.42,314.87,310.2
2014.5.28,310.16,2693201,309.5,313.82,307.42
2014.5.27,310.82,4860498,314.41,314.63,307.38
2014.5.23,312.24,3052372,305.46,312.35,304.9
2014.5.22,304.91,2575062,305.05,308.54,303.01
2014.5.21,305.01,3404723,302.21,305.96,301.52
2014.5.20,301.19,4090251,297.1,304.46,296.75
2014.5.19,296.76,2284218,295.76,299,293.81
2014.5.16,297.7,3635182,292.8,298.88,291.55
2014.5.15,295.19,4292196,298.02,299.2,290.38
2014.5.14,297.62,3323046,302.5,304.64,296.66
2014.5.13,304.64,3499423,302.6,305.6,300.75
2014.5.12,302.86,3726575,294.3,303.34,294.16
2014.5.9,292.24,4059948,290.57,293.68,284.38
2014.5.8,288.32,3845385,290.82,295.88,287.23
2014.5.7,292.71,7009526,295.56,296.4,286.68
2014.5.6,297.38,4676244,309.53,309.81,297.04
2014.5.5,310.05,2515219,306.37,310.23,305
2014.5.2,308.01,3995059,310.42,313.29,304.31
2014.5.1,307.89,4328379,304.13,310.48,304
2014.4.30,304.13,4082007,298.1,304.56,298.1
2014.4.29,300.38,6503357,296.44,301.84,290.45
2014.4.28,296.58,14477480,304,304.39,288
2014.4.25,303.83,16178060,316.25,316.49,302.71
2014.4.24,337.15,9071653,329.67,337.4,322.95
2014.4.23,324.58,3585766,333.06,333.13,323.39
2014.4.22,329.32,3709148,332,337.5,328.94
2014.4.21,330.87,2990747,323.97,331.15,322.31
2014.4.17,324.91,4298913,319.76,328.66,319.76
2014.4.16,323.68,4279829,321.17,324,314.71
2014.4.15,316.08,5397514,316.7,318.28,305.5
2014.4.14,315.91,4290192,317.67,320.48,311.28
2014.4.11,311.73,7285729,314,316.5,309.5
2014.4.10,317.11,6124760,330.6,331,316.5
2014.4.9,331.81,5056220,328.47,332.18,322.5
2014.4.8,327.07,6577434,321.88,328,318.44
2014.4.7,317.76,7004704,320.99,324.94,313.13
2014.4.4,323,12522090,335.15,335.44,315.61
2014.4.3,333.62,6377000,341.82,342.5,328.46
2014.4.2,341.96,4465927,345.99,348.3,340.38
2014.4.1,342.99,3599779,338.09,344.43,338
2014.3.31,336.37,4276550,342.4,346.29,334.06
2014.3.28,338.29,3976769,340.05,347,336.08
2014.3.27,338.47,5761711,343.15,344,330.88
2014.3.26,343.41,4103626,357.13,357.6,343.4
2014.3.25,354.71,4445646,354.03,358.97,348.84
2014.3.24,351.85,4873246,360.09,361.5,348.6
2014.3.21,360.62,5412991,371,372.84,358.4
2014.3.20,368.97,2553840,370.64,373,366.22
2014.3.19,373.23,2645238,378.77,379,369.42
2014.3.18,378.77,2473752,377.32,379,375
2014.3.17,375.04,2299657,375.72,378.85,374.88
2014.3.14,373.74,4385031,372.8,378.57,371.55
2014.3.13,371.51,6820152,376.62,383.11,368.08
2014.3.12,370.64,2216592,366.4,371.16,363.61
2014.3.11,368.82,2246032,370.99,372.8,367.28
2014.3.10,370.53,2105455,372.69,372.73,367
2014.3.7,372.06,2279215,374.58,374.99,369.53
2014.3.6,372.16,2926168,374.05,375.33,368.9
2014.3.5,372.37,3846510,364.13,372.73,363.9
2014.3.4,363.9,2704344,363.9,365.68,362.46
2014.3.3,359.78,2798280,358.74,360.96,354.48
2014.2.28,362.1,3881422,360.6,365.87,357.08
2014.2.27,360.13,3104857,357.22,360.59,355.5
2014.2.26,359.8,3621653,359.86,364.75,357.17
2014.2.25,358.32,3734994,353,361.08,351.58
2014.2.24,351.78,3644550,345.19,353,343.29
2014.2.21,346.76,4210034,352.44,354.14,346.75
2014.2.20,349.8,3492771,348.8,350.46,344.38
2014.2.19,347.38,4167283,352.64,354.54,346.1
2014.2.18,353.65,4997959,355.28,355.73,349.45
2014.2.14,357.35,3522810,359.34,359.34,353.35
2014.2.13,357.2,4174300,347.7,357.2,346.5
2014.2.12,349.25,6586835,356.43,357.75,346.32
2014.2.11,361.79,3220432,361.84,363.61,356.25
2014.2.10,360.87,3447970,361.61,365,359.35
2014.2.7,361.08,4338155,358.98,361.8,352.49
2014.2.6,354.59,3335208,347.4,354.82,347.4
2014.2.5,346.45,4435216,346,349.37,337.73
2014.2.4,347.95,4812831,349.59,354,344.02
2014.2.3,346.15,10280000,358.98,360.85,340.1
2014.1.31,358.69,16153930,371.76,375.45,357.76
2014.1.30,403.01,9945265,393.77,406.25,387.7
2014.1.29,384.2,3381356,392.16,392.85,383.24
2014.1.28,394.43,2894403,387.4,394.74,387.12
2014.1.27,386.28,3934957,390.5,394.1,380.49
2014.1.24,387.6,4506642,398.16,400.2,387.27
2014.1.23,399.87,3025297,401,406.17,397.79
2014.1.22,404.54,2059978,408,408.06,402
2014.1.21,407.05,3121784,403,407.8,401.6
2014.1.17,399.61,4505014,394.26,403.49,393.66
2014.1.16,395.8,2600179,393.68,399.29,389.41
2014.1.15,395.87,2677150,398.94,399.31,392.53
2014.1.14,397.54,2339458,392.13,398.63,391.29
2014.1.13,390.98,2843810,397.98,399.78,388.45
2014.1.10,397.66,2678085,402.53,403.76,393.8
2014.1.9,401.01,2103029,403.71,406.89,398.44
2014.1.8,401.92,2316220,398.47,403,396.04
2014.1.7,398.03,1916017,395.04,398.47,394.29
2014.1.6,393.63,3170587,395.85,397,388.42
2014.1.3,396.44,2210064,398.29,402.71,396.22
2014.1.2,397.97,2137807,398.8,399.36,394.02
2013.12.31,398.79,1996089,394.58,398.83,393.8
2013.12.30,393.37,2485346,399.41,399.92,392.45
2013.12.27,398.08,1986907,404.65,405.63,396.25
2013.12.26,404.39,1868479,401.79,404.52,396.81
2013.12.24,399.2,1380373,402.52,403.72,396.37
2013.12.23,402.92,2659431,403.69,405,399.2
2013.12.20,402.2,5033379,396.55,404.72,395.78
2013.12.19,395.19,2427225,394.27,397.29,392.6
2013.12.18,395.96,3489017,389.23,396.3,383.1
2013.12.17,387.65,2343772,390.65,391.36,386.5
2013.12.16,388.97,2251673,385.03,391.7,385
2013.12.13,384.24,3024764,385.32,389.42,383.8
2013.12.12,381.25,2119025,381.26,385,379.5
2013.12.11,382.19,2449454,387.34,388.98,382
2013.12.10,387.78,2736446,383.74,389.06,383.02
2013.12.9,384.89,2761617,388.11,388.21,382.57
2013.12.6,386.95,1984671,388.35,388.35,383.83
2013.12.5,384.49,1874352,386.65,386.65,381.37
2013.12.4,385.96,2354819,383.5,389.69,381.49
2013.12.3,384.66,3702352,390.11,390.95,383.1
2013.12.2,392.3,4714006,399,399,389.1
2013.11.29,393.62,2405985,389.1,394.1,388.62
2013.11.27,386.71,2267611,383.5,387,382.61
2013.11.26,381.37,2724361,377.61,382.5,374.82
2013.11.25,376.64,2970367,373.82,377.79,373.18
2013.11.22,372.31,2965514,370,374.5,366.31
2013.11.21,368.92,1964573,364.05,369.25,363.3
2013.11.20,362.57,1771459,367.56,367.56,360.45
2013.11.19,364.94,1901397,365.82,368.78,362.5
2013.11.18,366.18,2736705,370.28,373.49,364.67
2013.11.15,369.17,4491575,367.63,372.9,365.55
2013.11.14,367.4,4159753,357.39,368.94,356.43
2013.11.13,356.22,2773339,347.4,356.22,345.68
2013.11.12,349.53,2343108,352.99,355.48,347.28
2013.11.11,354.38,2261703,350.59,355.37,348.06
2013.11.8,350.31,2625612,345.95,351.05,344.04
2013.11.7,343.56,4246294,355.86,357.9,341.88
2013.11.6,356.18,2284870,360.45,362.87,354.5
2013.11.5,358.89,2006927,356.78,360.17,354.84
2013.11.4,358.74,1938439,360.12,361,354.4
2013.11.1,359,3331015,365.63,365.77,356.1
2013.10.31,364.03,2466837,361.73,366,359
2013.10.30,361.08,4500014,362.62,365,358.65
2013.10.29,362.7,2184755,358.96,362.89,356.29
2013.10.28,358.16,3602497,359.92,362.75,357.2
2013.10.25,363.39,12034820,358.6,368.4,352.62
2013.10.24,332.21,5699188,329.63,332.65,326.75
2013.10.23,326.76,2804982,330.84,331.72,324.06
2013.10.22,332.54,3928327,327.72,337.11,325.68
2013.10.21,326.44,2521923,329.89,330,323.8
2013.10.18,328.93,5937591,319.36,331.89,316.75
2013.10.17,310.77,2632744,307.07,311,305.24
2013.10.16,310.49,2167086,308.38,310.8,305.55
2013.10.15,306.4,2260854,309.87,310.79,305.26
2013.10.14,310.7,1937892,309.22,311.65,307
2013.10.11,310.89,2160877,304.77,310.93,303.84
2013.10.10,305.17,2555085,304.63,306.7,302.59
2013.10.9,298.23,3247149,303.42,303.5,296.5
2013.10.8,303.23,3166244,311.5,311.55,300.27
2013.10.7,310.03,2083122,315.24,315.34,309.74
2013.10.4,319.04,1814976,315.13,319.2,312.62
2013.10.3,314.76,2674741,320.39,322.92,313.02
2013.10.2,320.51,2217373,318.04,321.73,317.52
2013.10.1,320.95,2396323,314.22,321,313.65
2013.9.30,312.64,1622476,313.41,315.31,311.06
2013.9.27,316.01,1657457,316.92,317.21,313.35
2013.9.26,318.12,1989882,313.9,319.37,313.26
2013.9.25,312.65,2008107,314.53,316.71,310.75
2013.9.24,314.13,2005771,312.43,318.08,311.28
2013.9.23,311.49,1884097,314.01,315.9,308.77
